text,category
Faculty teaching is excellent,Faculty
Teachers are not supportive,Faculty
Faculty is absent regularly,Faculty
Teaching quality is poor,Faculty
Professor explains concepts clearly,Faculty

Placement opportunities are low,Placement
Need more companies for placement,Placement
Internship opportunities are limited,Placement
Placement cell is inactive,Placement
Campus recruitment is excellent,Placement

Hostel food quality is poor,Infrastructure
WiFi is not working,Infrastructure
Classrooms need maintenance,Infrastructure
Library facilities are good,Infrastructure
Hostel rooms are dirty,Infrastructure

College management is excellent,College
Administration is slow,College
College events are well organized,College
Fee process is complicated,College
Office staff is helpful,College
