text,sentiment
Faculty teaching is excellent,Positive
Hostel food is very good,Positive
Library facilities are great,Positive
Teachers are helpful,Positive
Campus is awesome,Positive
Food quality is poor,Negative
WiFi is not working,Negative
Hostel rooms are dirty,Negative
Faculty is not supportive,Negative
Transport service is bad,Negative
There is ragging in hostel,Urgent
Student harassment reported,Urgent
Violence happened in campus,Urgent
Threat from senior students,Urgent
Abuse by classmates,Urgent
